,0,Farmacia,Normal,Oferta,Producto,SKU
0,2022-04-04,,,,,
1,Ahumada,,,,,
2,HIGIENE INTIMA EUCERIN 250 ML,,,,,
3,41675,,,,,
4,10149.00,,,,,
5,10149.00,,,,,
6,2022-04-04,,,,,
7,Ahumada,,,,,
8,Pack T\u00edo Nacho Shampoo + Acondicionador Engrosador 415 Ml,,,,,
9,87750,,,,,
10,11999.00,,,,,
11,11999.00,,,,,
12,2022-04-04,,,,,
13,Ahumada,,,,,
14,Cerave Loci\u00f3n Hidratante Piel Seca A Muy Seca x 473 mL,,,,,
15,85379,,,,,
16,13699.00,,,,,
17,13699.00,,,,,
18,2022-04-04,,,,,
19,Ahumada,,,,,
20,Cerave Crema Contorno De Ojos Reparadora x 15 mL,,,,,
21,85385,,,,,
22,12499.00,,,,,
23,12499.00,,,,,
24,2022-04-04,,,,,
25,Ahumada,,,,,
26,Cerave Crema Contorno De Ojos Reparadora x 15 mL,,,,,
27,85385,,,,,
28,12499.00,,,,,
29,12499.00,,,,,
30,2022-04-04,,,,,
31,Ahumada,,,,,
32,Victoza 6 mg\/mL x 1 Dispositivo Prellenado Solucion Inyectable,,,,,
33,74783,,,,,
34,84595.00,,,,,
35,84595.00,,,,,
36,2022-04-04,,,,,
37,Ahumada,,,,,
38,Singulair 4 mg Granulado Oral x 30 Sobres,,,,,
39,41715,,,,,
40,81395.00,,,,,
41,81395.00,,,,,
42,2022-04-04,,,,,
43,Ahumada,,,,,
44,Alexia 180 mg x 30 Comprimidos Recubiertos,,,,,
45,44870,,,,,
46,28595.00,,,,,
47,28595.00,,,,,
48,2022-04-04,,,,,
49,Ahumada,,,,,
50,Alexia 180 mg x 30 Comprimidos Recubiertos,,,,,
51,44870,,,,,
52,28595.00,,,,,
53,28595.00,,,,,
54,2022-04-04,,,,,
55,Ahumada,,,,,
56,"Oralgene 0,12 % Colutorio x 500 mL",,,,,
57,15357,,,,,
58,10999.00,,,,,
59,10999.00,,,,,
60,2022-04-04,,,,,
61,Ahumada,,,,,
62,Calmatol x 60 mL Jarabe,,,,,
63,5165,,,,,
64,8599.00,,,,,
65,8599.00,,,,,
66,2022-04-04,,,,,
67,Ahumada,,,,,
68,Calmatol x 60 mL Jarabe,,,,,
69,5165,,,,,
70,8599.00,,,,,
71,8599.00,,,,,
72,2022-04-04,,,,,
73,Ahumada,,,,,
74,"Groomen M\u00e1quina De Afeitar 500, 5 Navajas (2 Cartucho+ 1 Mango)",,,,,
75,90131,,,,,
76,9999.00,,,,,
77,9999.00,,,,,
78,2022-04-04,,,,,
79,Ahumada,,,,,
80,"Groomen M\u00e1quina De Afeitar 500, 5 Navajas (2 Cartucho+ 1 Mango)",,,,,
81,90131,,,,,
82,9999.00,,,,,
83,9999.00,,,,,
84,2022-04-04,,,,,
85,Ahumada,,,,,
86,Gillette Crema Para Afeitar Piel Sensible x 312 g,,,,,
87,64449,,,,,
88,7899.00,,,,,
89,7899.00,,,,,
90,2022-04-04,,,,,
91,Ahumada,,,,,
92,Loreal M\u00e1scara Pesta\u00f1as Volume Lash Paradise Waterproof x 1 Unidad,,,,,
93,83930002,,,,,
94,9599.00,,,,,
95,9599.00,,,,,
96,2022-04-04,,,,,
97,Ahumada,,,,,
98,Maybelline Corrector Ojos Eraser 07 Sand x 6 mL,,,,,
99,85308001,,,,,
100,5699.00,,,,,
101,5699.00,,,,,
102,2022-04-04,,,,,
103,Ahumada,,,,,
104,Maybelline Corrector Ojos Eraser 07 Sand x 6 mL,,,,,
105,85308001,,,,,
106,5699.00,,,,,
107,5699.00,,,,,
108,2022-04-04,,,,,
109,Ahumada,,,,,
110,Suerox Bebida Manzana x 630 mL,,,,,
111,87944,,,,,
112,2645.00,,,,,
113,2645.00,,,,,
114,2022-04-04,,,,,
115,Ahumada,,,,,
116,Suerox Bebida Manzana x 630 mL,,,,,
117,87944,,,,,
118,2645.00,,,,,
119,2645.00,,,,,
120,2022-04-04,,,,,
121,Ahumada,,,,,
122,Suerox Bebida Manzana x 630 mL,,,,,
123,87944,,,,,
124,2645.00,,,,,
125,2645.00,,,,,
126,2022-04-04,,,,,
127,Ahumada,,,,,
128,Gatorade Jugo Botella Cool Blue x 750 mL,,,,,
129,74882002,,,,,
130,1999.00,,,,,
131,1999.00,,,,,
132,2022-04-04,,,,,
133,Ahumada,,,,,
134,Ensure Advance Vainilla x 850 g Polvo,,,,,
135,79437,,,,,
136,21195.00,,,,,
137,21195.00,,,,,
138,2022-04-04,,,,,
139,Ahumada,,,,,
140,Ensure Advance Vainilla x 850 g Polvo,,,,,
141,79437,,,,,
142,21195.00,,,,,
143,21195.00,,,,,
144,2022-04-04,,,,,
145,Ahumada,,,,,
146,Sunvitlife Spirulina x 180 Comprimidos,,,,,
147,84247,,,,,
148,14695.00,,,,,
149,14695.00,,,,,
150,2022-04-04,,,,,
151,Ahumada,,,,,
152,Gatorade Jugo Botella Cool Blue x 750 mL,,,,,
153,74882002,,,,,
154,1999.00,,,,,
155,1999.00,,,,,
156,2022-04-04,,,,,
157,Ahumada,,,,,
158,Tetralysal 300 mg x 28 C\u00e1psulas,,,,,
159,75535,,,,,
160,37295.00,,,,,
161,37295.00,,,,,
162,2022-04-04,,,,,
163,Ahumada,,,,,
164,Tetralysal 300 mg x 28 C\u00e1psulas,,,,,
165,75535,,,,,
166,37295.00,,,,,
167,37295.00,,,,,
168,2022-04-04,,,,,
169,Ahumada,,,,,
170,"Tobrex 0,3 % x 5 mL Soluci\u00f3n Oft\u00e1lmica",,,,,
171,7987,,,,,
172,36695.00,,,,,
173,36695.00,,,,,
174,2022-04-04,,,,,
175,Ahumada,,,,,
176,Similac Formula Total Comfort x 820 g,,,,,
177,71228,,,,,
178,22099.00,,,,,
179,22099.00,,,,,
180,2022-04-04,,,,,
181,Ahumada,,,,,
182,BABY CREMA CORPORAL EUCERIN 400 ML,,,,,
183,82078,,,,,
184,21499.00,,,,,
185,21499.00,,,,,
186,2022-04-04,,,,,
187,Ahumada,,,,,
188,Mustela Gel De Ba\u00f1o x 500 mL,,,,,
189,88586,,,,,
190,9399.00,,,,,
191,9399.00,,,,,
192,2022-04-04,,,,,
193,Ahumada,,,,,
194,Loreal M\u00e1scara Pesta\u00f1as Volume Lash Paradise Waterproof x 1 Unidad,,,,,
195,83930002,,,,,
196,9599.00,,,,,
197,9599.00,,,,,
198,2022-04-04,,,,,
199,Ahumada,,,,,
200,Ladysoft Toalla Nocturna Ultra Delgadas x 16 Unidades,,,,,
201,66100,,,,,
202,3249.00,,,,,
203,3249.00,,,,,
204,2022-04-04,,,,,
205,Ahumada,,,,,
206,Ladysoft Toalla Nocturna Ultra Delgadas x 16 Unidades,,,,,
207,66100,,,,,
208,3249.00,,,,,
209,3249.00,,,,,
210,2022-04-04,,,,,
211,Ahumada,,,,,
212,Ladysoft Toalla Nocturna Ultra Delgadas x 16 Unidades,,,,,
213,66100,,,,,
214,3249.00,,,,,
215,3249.00,,,,,
216,2022-04-04,,,,,
217,Ahumada,,,,,
218,Kitadol 500 mg x 24 Comprimidos,,,,,
219,15414,,,,,
220,1495.00,,,,,
221,1495.00,,,,,
222,2022-04-04,,,,,
223,Ahumada,,,,,
