,Unnamed: 0,Fecha,Farmacia,Producto,SKU,Normal,Oferta
0,0,2022-04-09,Cruz Verde,"Morelin Amitriptilina 12,5 mg 30 Comprimidos",1006,18.970,18.970
1,1,2022-04-09,Cruz Verde,Grifoclobam Clobazam 10 mg 20 Comprimidos,1022,22.590,22.590
2,2,2022-04-09,Cruz Verde,Sostac Fluoxetina 20 mg 30 Comprimidos,1027,15.690,15.690
3,3,2022-04-09,Cruz Verde,Tonaril Trihexifenidilo 2 mg 100 Comprimidos,1045,24.190,24.190
4,4,2022-04-09,Cruz Verde,Tensoliv Clordiazepoxido 5 mg 30 Comprimidos,1050,13.590,13.590
5,5,2022-04-09,Cruz Verde,Contralmor Betametsona 250 mg 6 Supositorios,1052,15.190,15.190
6,6,2022-04-09,Cruz Verde,Ginedazol Tinidazol 150 mg 10 Ovulos,1054,22.590,22.590
7,7,2022-04-09,Cruz Verde,Uren Triamterena 50 mg 24 Comprimidos,1058,5.390,5.390
8,8,2022-04-09,Cruz Verde,Grifoparkin Levodopa 250 mg 30 Comprimidos,1062,18.690,18.690
9,9,2022-04-09,Cruz Verde,Troxxil Tinidazol 1000 mg 4 Comprimidos,1064,14.090,14.090
10,10,2022-04-09,Cruz Verde,Migratam Ergotamina 300 mg 10 Comprimidos Recubierto,1074,2.190,2.190
11,11,2022-04-09,Cruz Verde,Rehsal-60 Sales Hidratantes Sodio 8 Sobres Sabor Frutilla,1076,9.190,9.190
12,12,2022-04-09,Cruz Verde,Rehsal-60 Sales Hidratantes Sodio 1 Sobre Sabor Frutilla,1077,1.590,1.590
13,13,2022-04-09,Cruz Verde,Rehsal-90 Sales Hidratantes Sodio 4 Sobres Sabor Limón,1094,10.490,10.490
14,14,2022-04-09,Cruz Verde,Frenaler Pediatrico Loratadina 5 mg Jarabe 60 mL,1097,6.490,6.490
15,15,2022-04-09,Cruz Verde,Ginedazol Dual (Ovulos+Crema) Tinidazol 150 mg 10 Ovulos,1105,24.390,24.390
16,16,2022-04-09,Cruz Verde,Burten Ketorolaco 10 mg 10 Comprimidos,1112,9.240,9.240
17,17,2022-04-09,Cruz Verde,Null,Null,Null,Null
18,18,2022-04-09,Cruz Verde,Cam Betametasona 2 mg Jarabe 120 mL,1122,11.440,10.990
19,19,2022-04-09,Cruz Verde,Cortiprex Prednisona 20 mg 20 Comprimidos Recubierto,1147,8.090,8.090
20,20,2022-04-09,Cruz Verde,Aerofacidose Escolar Adulto 1 Aerocamara,1159,9.290,9.290
21,21,2022-04-09,Cruz Verde,Amobiotic Amoxicilina 500 mg/5mL Suspensión 120 mL,1169,17.590,17.590
22,22,2022-04-09,Cruz Verde,Perebron Adulto Oxolamina 50 mg / 5 ml Jarabe Adulto 100 mL,1178,6.390,6.390
23,23,2022-04-09,Cruz Verde,Perebron Pediátrico Oxolamina 28 gr / 5 mL Jarabe 100 mL,1179,7.090,7.090
24,24,2022-04-09,Cruz Verde,Trittico Trazodona 25 mg 20 Cápsulas,1182,21.390,21.390
25,25,2022-04-09,Cruz Verde,Trittico Trazodona 100 mg 20 Comprimidos,1183,29.990,29.990
26,26,2022-04-09,Cruz Verde,Sostac Fluoxetina 20 mg 60 Comprimidos,1188,20.790,20.790
27,27,2022-04-09,Cruz Verde,Adroxef Cefadroxilo 500 mg 14 Capsulas,1205,30.290,30.290
28,28,2022-04-09,Cruz Verde,Donomix Clotrimazol 10 mg / gr Crema Dérmica 15 gr,1230,16.990,16.990
29,29,2022-04-09,Cruz Verde,Launol Deltametrina 20 mg Shampoo 120 mL con Peine,1242,8.090,8.090
30,30,2022-04-09,Cruz Verde,"Launol Piperonil Putóxido 2,5% 1 Sobre 15 mL",1243,490,490
31,31,2022-04-09,Cruz Verde,"Mixgen Gentamicina 0,1% CremaDermica 15 gr",1248,21.190,21.190
32,32,2022-04-09,Cruz Verde,Adroxef Cefadroxilo 250 mg/5mL Jarabe 100 mL,1261,26.490,26.490
33,33,2022-04-09,Cruz Verde,Null,Null,Null,Null
34,34,2022-04-09,Cruz Verde,Hipoglucin Metformina 850 mg 30 Comprimidos,1281,9.190,9.190
35,35,2022-04-09,Cruz Verde,Hipoglucin Metformina 850 mg 60 Comprimidos Recubiertos,1282,16.790,16.790
36,36,2022-04-09,Cruz Verde,Feminol Gestodeno 75 mcg 21 Comprimidos,1299,14.690,14.690
37,37,2022-04-09,Cruz Verde,Azitrom Azitromicina 200 mg Suspensión 5 mL,1302,21.090,21.090
38,38,2022-04-09,Cruz Verde,Grifodilzem Diltiazem 60 mg 60 Comprimidos,1303,19.990,19.990
39,39,2022-04-09,Cruz Verde,Tonotensil Lisinopril 10 mg 30 Comprimidos,1338,22.490,22.490
40,40,2022-04-09,Cruz Verde,Kitadol Infantil Paracetamol 100 mg Gotas 15 mL,1355,2.960,2.960
41,41,2022-04-09,Cruz Verde,Frenaler-D Loratadina 15 mg/5ml Jarabe 100 mL,1367,16.490,16.490
42,42,2022-04-09,Cruz Verde,Cedetol Pm Infantil Codeína 10 mg / 5 mL Jarabe 120 mL,1368,17.390,17.390
43,43,2022-04-09,Cruz Verde,Preclar Claritromicina 250 mg/5mL Suspensión 80 mL,1371,17.690,17.690
44,44,2022-04-09,Cruz Verde,"Calcefor D Calcio 320 mg Vitamina D3 1,25 mg 30 Cápsulas",1377,10.090,10.090
45,45,2022-04-09,Cruz Verde,Posivyl Paroxetina 20 mg 30 Comprimidos Recubiertos,1381,39.890,39.890
46,46,2022-04-09,Cruz Verde,"Gynostat-20 Desogestrel 0,15 mg 21 Comprimidos Recubiertos",1389,13.990,11.192
47,47,2022-04-09,Cruz Verde,Kitadol Paracetamol 120 mg/5ml Jarabe 60 mL,1390,9.590,9.590
48,48,2022-04-09,Cruz Verde,"Lady-Ten 35 Ciproterona 2 mg Etinilestradiol 0,035 mg 21 Comprimidos",1391,23.190,23.190
49,49,2022-04-09,Cruz Verde,Ambilan Bid Amoxicilina 57 mg/5ml Suspensión 70 mL,1398,26.590,26.590
50,50,2022-04-09,Cruz Verde,Feminol 20 Gestodeno 75 mcg 21 Comprimidos Recubierto,1406,14.590,14.590
51,51,2022-04-09,Cruz Verde,Cortiprex Prednisona 1 mg Suspensión 100 mL,1407,13.190,13.190
52,52,2022-04-09,Cruz Verde,Null,Null,Null,Null
53,53,2022-04-09,Cruz Verde,Ausentron Clomipramina 25 mg 30 Comprimidos,1415,26.790,26.790
54,54,2022-04-09,Cruz Verde,Simperten-D Losartan 50 mg 30 Comprimidos Recubierto,1417,26.490,26.490
55,55,2022-04-09,Cruz Verde,Restol Domperidona 10 mg Gotas 20 mL,1426,3.490,3.490
56,56,2022-04-09,Cruz Verde,Calcefor D Forte Calcio 1250 mg 30 Cápsulas,1437,6.890,6.890
57,57,2022-04-09,Cruz Verde,Auxxil Levofloxacina 500 mg 14 Comprimidos,1438,29.290,29.290
58,58,2022-04-09,Cruz Verde,Cortiprex Prednisona 20 mg/5ml Suspensión 60 mL,1443,11.090,11.090
59,59,2022-04-09,Cruz Verde,Amobiotic Amoxicilina 1000 mg 14 Comprimidos,1451,14.390,14.390
60,60,2022-04-09,Cruz Verde,Dermabel Clindamicina 1% Gel Dermico 30 gr,1464,21.990,21.990
61,61,2022-04-09,Cruz Verde,Pervioral Valaciclovir 500 mg 42 Comprimidos Recubiertos,1465,49.460,49.460
62,62,2022-04-09,Cruz Verde,Trittico AC Trazodona 150 mg 20 Comprimidos,1475,49.890,49.890
63,63,2022-04-09,Cruz Verde,Dermabel Clindamicina 1% Solución Tópica 30 mL,1480,21.860,21.860
64,64,2022-04-09,Cruz Verde,Null,Null,Null,Null
65,65,2022-04-09,Cruz Verde,Ripol Sildenafil 50 mg 5 Comprimidos,1485,3.590,3.590
66,66,2022-04-09,Cruz Verde,Adroxef Cefadroxilo 500 mg/5mL Suspensión 100 mL,1490,35.290,35.290
67,67,2022-04-09,Cruz Verde,Auxxil Levofloxacina 500 mg 10 Comprimidos,1493,22.890,22.890
68,68,2022-04-09,Cruz Verde,"Tobe Tibolona 2,5 mg 30 Comprimidos",1495,25.740,25.740
69,69,2022-04-09,Cruz Verde,Simperten-D Losartan 100 mg 30 Comprimidos Recubierto,1500,28.490,28.490
70,70,2022-04-09,Cruz Verde,Amobiotic BID Amoxicilina 1000 mg/5mL Suspensión 90 mL,1504,17.090,17.090
71,71,2022-04-09,Cruz Verde,Amobiotic Amoxicilina 1000 mg 20 Comprimidos,1505,18.190,18.190
72,72,2022-04-09,Cruz Verde,Calcefor D Forte Calcio 1250 mg 60 Cápsulas,1506,10.290,10.290
73,73,2022-04-09,Cruz Verde,Hipoglucin Metformina 1000 mg 30 Comprimidos Recubiertos,1528,18.590,18.590
74,74,2022-04-09,Cruz Verde,Nogesta Desogestrel 75 mcg 28 Comprimidos Recubierto,1530,14.590,14.590
75,75,2022-04-09,Cruz Verde,Cloroquina 250 mg 20 Comprimidos,2043,5.190,5.190
76,76,2022-04-09,Cruz Verde,"Colchicina 0,5 mg 40 Comprimidos",2046,2.390,2.390
77,77,2022-04-09,Cruz Verde,Hidrocortisona 20 mg 20 Comprimidos,2047,5.890,5.890
78,78,2022-04-09,Cruz Verde,Null,Null,Null,Null
79,79,2022-04-09,Cruz Verde,Metronidazol 500 mg 10 Óvulos,2090,2.290,2.290
80,80,2022-04-09,Cruz Verde,Neomicina 500 mg 12 Comprimidos,2091,6.290,6.290
81,81,2022-04-09,Cruz Verde,"Potasio Gluconato 31,2% Solución 200 mL",2115,5.890,5.890
82,82,2022-04-09,Cruz Verde,Sulfato Sulfato Ferroso 200 mg 20 Comprimidos,2132,1.690,1.690
83,83,2022-04-09,Cruz Verde,Tiamina 10 mg 40 Comprimidos,2136,3.990,3.990
84,84,2022-04-09,Cruz Verde,Tolbutamida 500 mg 20 Comprimidos,2138,3.290,3.290
